dataset	cell_line_label	gene	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	is_depleted_mageck	is_enriched_mageck	BF	is_depleted_bagel
scaled	Mel202	TOMM40	14	1.1034e-06	1.4011e-05	0.000571	23	11	-0.97719	0.99941	0.99943	0.999995	980	0	-0.97719	1	0	6.44900595238095	1
scaled	Mel202	UQCRC1	8	1.3445e-06	1.4011e-05	0.000571	24	8	-1.0851	1	1	0.999995	1044	0	-1.0851	1	0	8.61770833333333	1
scaled	Mel202	MRPL38	8	1.6012e-06	1.4011e-05	0.000571	25	8	-1.0197	1	1	0.999995	1043	0	-1.0197	1	0	7.96591666666667	1
scaled	Mel202	RPS19	8	1.6331e-06	1.4011e-05	0.000571	26	8	-1.6375	1	1	0.999995	1042	0	-1.6375	1	0	10.741125	1
scaled	Mel202	HMGCS1	7	1.9934e-06	2.3351e-05	0.000854	27	7	-1.1556	1	1	0.999995	1041	0	-1.1556	1	0	7.10093452380952	1
scaled	Mel202	RRM2	7	2.4071e-06	2.3351e-05	0.000854	28	5	-1.8172	0.85856	0.85715	0.999995	751	0	-1.8172	1	0	11.4833630952381	1
scaled	Mel202	MRPL41	8	2.4556e-06	2.3351e-05	0.000854	29	7	-1.3045	0.99999	1	0.999995	1033	0	-1.3045	1	0	8.38029166666667	1
scaled	Mel202	KIF11	8	2.6429e-06	3.2692e-05	0.001118	30	7	-1.2431	1	1	0.999995	1040	0	-1.2431	1	0	8.47470833333333	1
scaled	Mel202	RNF113A	8	4.1445e-06	4.2033e-05	0.001238	31	7	-0.97414	0.90844	0.9077	0.999995	803	0	-0.97414	1	0	9.0865	1
scaled	Mel202	EIF3B	8	4.4477e-06	4.2033e-05	0.001238	32	7	-1.2924	0.99998	0.99999	0.999995	1024	0	-1.2924	1	0	8.16170833333333	1
scaled	Mel202	PSMB3	7	5.0526e-06	4.2033e-05	0.001238	33	6	-1.4217	0.99986	0.99989	0.999995	1004	0	-1.4217	1	0	9.94641071428572	1
scaled	Mel202	CDIPT	8	5.0727e-06	4.2033e-05	0.001238	34	7	-1.7075	0.9997	0.99962	0.999995	990	0	-1.7075	1	0	11.53025	1
scaled	Mel202	RPS8	5	5.6911e-06	3.2692e-05	0.001118	35	3	-2.1936	0.99801	0.99807	0.999995	959	0	-2.1936	1	0	11.041325	1
scaled	Mel202	SNRPD3	8	6.7247e-06	5.1373e-05	0.001433	36	6	-1.634	0.7827	0.78272	0.999995	688	0	-1.634	1	0	10.4199166666667	1
scaled	Mel202	DYNLRB1	7	6.8782e-06	4.2033e-05	0.001238	37	7	-1.3678	0.99999	1	0.999995	1031	0	-1.3678	1	0	8.78522023809524	1
scaled	Mel202	RBBP4	7	8.4996e-06	5.1373e-05	0.001433	38	6	-1.3464	0.94006	0.93939	0.999995	844	0	-1.3464	1	0	9.29588690476191	1
scaled	Mel202	PPP4C	8	9.9212e-06	7.0054e-05	0.001856	39	7	-1.4001	0.99981	0.99972	0.999995	1001	0	-1.4001	1	0	9.66616666666667	1
scaled	Mel202	SF3B1	8	1.0199e-05	7.0054e-05	0.001856	40	7	-1.3437	0.99978	0.99971	0.999995	998	0	-1.3437	1	0	9.48720833333333	1
scaled	Mel202	SF3A1	8	1.2174e-05	9.8076e-05	0.002475	41	7	-0.81575	0.99999	1	0.999995	1028	0	-0.81575	1	0	6.39754166666667	1
scaled	Mel202	PDCD6IP	8	1.3736e-05	0.00010742	0.002588	42	7	-0.92656	0.99986	0.9998	0.999995	1005	0	-0.92656	1	0	6.45395833333333	1
scaled	Mel202	RFC2	8	1.5621e-05	0.00010742	0.002588	43	6	-1.2338	0.68946	0.69011	0.999995	611	0	-1.2338	1	0	6.5645	1
scaled	Mel202	HUS1	8	1.6521e-05	0.00011676	0.00269	44	7	-0.91041	0.99963	0.99955	0.999995	988	0	-0.91041	1	0	5.90645833333333	1
scaled	Mel202	ATP6V1B2	8	1.6858e-05	0.00011676	0.00269	45	7	-0.91411	1	1	0.999995	1039	0	-0.91411	1	0	7.61033333333333	1
scaled	Mel202	POLR2B	8	1.929e-05	0.00013544	0.003055	46	7	-1.0388	0.97244	0.97168	0.999995	890	0	-1.0388	1	0	7.164	1
scaled	Mel202	COX6B1	16	1.9318e-05	0.00019148	0.004059	47	10	-0.79057	0.21868	0.21871	0.999995	184	0	-0.79057	1	0	4.78464583333333	1
scaled	Mel202	CKAP5	16	2.0553e-05	0.00019148	0.004059	48	9	-0.81198	0.99977	0.99977	0.999995	997	0	-0.81198	1	0	4.8911875	1
scaled	Mel202	RPL10A	7	2.2188e-05	8.8735e-05	0.002294	49	6	-1.438	0.99985	0.99988	0.999995	1003	0	-1.438	1	0	9.62355357142857	1
scaled	Mel202	NDUFB4	8	2.5417e-05	0.00020082	0.004174	50	7	-1.1207	0.99749	0.99747	0.999995	952	0	-1.1207	1	0	6.92283333333333	1
scaled	Mel202	LONP1	8	2.7796e-05	0.00021016	0.004284	51	7	-1.3124	0.99292	0.99283	0.999995	928	0	-1.3124	1	0	9.28766666666667	1
scaled	Mel202	ATP5F1B	8	2.7949e-05	0.0002195	0.004309	52	6	-1.4202	0.99998	0.99999	0.999995	1021	0	-1.4202	1	0	10.1857083333333	1
scaled	Mel202	RPL15	5	2.9767e-05	0.00015412	0.003403	53	4	-2.4326	0.70896	0.71006	0.999995	627	0	-2.4326	1	0	10.9154583333333	1
scaled	Mel202	SF3B5	8	3.4708e-05	0.00026621	0.004703	54	6	-1.3399	0.99994	0.99995	0.999995	1015	0	-1.3399	1	0	9.28279166666667	1
scaled	Mel202	TUBB	6	3.5008e-05	0.00022884	0.00441	55	5	-2.0222	0.9506	0.95111	0.999995	852	0	-2.0222	1	0	11.7640138888889	1
scaled	Mel202	ILF3	8	4.0531e-05	0.00029423	0.00495	56	7	-1.259	0.35451	0.35462	0.999995	312	0	-1.259	1	0	6.75154166666667	1
scaled	Mel202	CHORDC1	6	4.1294e-05	0.00025687	0.004703	57	5	-1.4644	0.99462	0.9944	0.999995	935	0	-1.4644	1	0	8.61168055555556	1
scaled	Mel202	CCNL1	8	4.2916e-05	0.00030357	0.005028	58	7	-0.71991	0.99772	0.99766	0.999995	954	0	-0.71991	1	0	3.81629166666667	1
scaled	Mel202	CLNS1A	7	4.4084e-05	0.0002195	0.004309	59	6	-1.6081	0.99995	0.99997	0.999995	1016	0	-1.6081	1	0	10.6866964285714	1
scaled	Mel202	NRBP2	8	4.5026e-05	0.00031291	0.005103	60	7	-0.64989	0.99998	0.99999	0.999995	1023	0	-0.64989	1	0	3.08291666666667	1
scaled	Mel202	RPL19	6	4.5346e-05	0.00026621	0.004703	61	4	-1.945	0.93469	0.93571	0.999995	834	0	-1.945	1	0	11.2149583333333	1
scaled	Mel202	AFG3L2	6	4.5346e-05	0.00026621	0.004703	62	6	-1.0517	0.99995	0.99997	0.999995	1018	0	-1.0517	1	0	7.380625	1
scaled	Mel202	RPL17	6	4.8865e-05	0.00027555	0.004711	63	5	-1.6964	0.99959	0.99963	0.999995	986	0	-1.6964	1	0	10.1044027777778	1
scaled	Mel202	RPL11	7	5.5364e-05	0.00023818	0.004508	64	6	-1.7255	0.99998	0.99998	0.999995	1022	0	-1.7255	1	0	11.2010773809524	1
scaled	Mel202	VCP	8	5.9417e-05	0.00041565	0.006576	65	5	-1.3826	0.96829	0.96756	0.999995	879	0	-1.3826	1	0	8.49079166666667	1
scaled	Mel202	ATP5F1A	8	6.3191e-05	0.00044368	0.00686	66	7	-1.0242	1	1	0.999995	1035	0	-1.0242	1	0	8.184625	1
scaled	Mel202	HASPIN	8	6.9439e-05	0.00045302	0.00686	67	7	-0.5304	0.84616	0.84601	0.999995	741	0	-0.5304	1	0	1.86116666666667	1
scaled	Mel202	RPL31	5	6.9866e-05	0.00027555	0.004711	68	5	-1.6156	0.99993	0.99993	0.999995	1010	0	-1.6156	1	0	10.0527916666667	1
scaled	Mel202	GTF3C1	8	7.0171e-05	0.00045302	0.00686	69	6	-0.93505	0.99739	0.99735	0.999995	950	0	-0.93505	1	0	6.166125	1
scaled	Mel202	SNRPD2	6	7.6533e-05	0.00037829	0.006076	70	4	-1.7394	0.99904	0.99903	0.999995	975	0	-1.7394	1	0	10.8403472222222	1
scaled	Mel202	SBNO1	8	8.3588e-05	0.00052774	0.00777	71	6	-0.94971	0.73098	0.73057	0.999995	647	0	-0.94971	1	0	5.98029166666667	1
scaled	Mel202	CDK2	8	8.4492e-05	0.00053708	0.007799	72	6	-0.77343	0.98852	0.98827	0.999995	914	0	-0.77343	1	0	3.56245833333333	1
scaled	Mel202	GDI2	16	9.7755e-05	0.00087334	0.010764	73	10	-0.64134	0.67086	0.67012	0.999995	594	0	-0.64134	1	0	2.9615	1
scaled	Mel202	MED20	8	0.00010271	0.00061181	0.008647	74	6	-1.1486	0.99976	0.9997	0.999995	996	0	-1.1486	1	0	6.69733333333333	1
scaled	Mel202	VMP1	8	0.00010432	0.00061181	0.008647	75	6	-0.82939	1	1	0.999995	1038	0	-0.82939	1	0	7.04204166666667	1
scaled	Mel202	RPL37A	5	0.00010754	0.00050906	0.0076	76	4	-1.5629	0.90757	0.90871	0.999995	800	0	-1.5629	1	0	10.3152583333333	1
scaled	Mel202	CLTC	8	0.00010815	0.00063049	0.008794	77	6	-1.0656	0.99998	1	0.999995	1027	0	-1.0656	1	0	7.94504166666667	1
scaled	Mel202	ACTL6A	8	0.00011675	0.00065851	0.008836	78	6	-0.76032	0.064666	0.063875	0.999995	49	0	-0.76032	1	0	5.29508333333333	1
scaled	Mel202	PRPF38A	8	0.00011717	0.00065851	0.008836	79	6	-1.3187	0.48268	0.4828	0.999995	429	0	-1.3187	1	0	10.04475	1
scaled	Mel202	ATP5F1D	8	0.00012589	0.00068653	0.009097	80	6	-1.1469	0.97116	0.97054	0.999995	888	0	-1.1469	1	0	6.76679166666667	1
scaled	Mel202	TOP2A	8	0.00012971	0.00069587	0.009106	81	6	-1.2339	0.9985	0.99846	0.999995	968	0	-1.2339	1	0	9.072375	1
scaled	Mel202	MED18	16	0.00013265	0.0011722	0.013219	82	9	-0.70784	0.92472	0.92535	0.999995	817	0	-0.70784	1	0	5.30470833333333	1
scaled	Mel202	SAR1A	16	0.00013373	0.0011722	0.013219	83	10	-0.6576	0.94041	0.94075	0.999995	845	0	-0.6576	1	0	4.4301875	1
scaled	Mel202	TUFM	7	0.00014638	0.00063983	0.008808	84	5	-1.1973	0.96741	0.96732	0.999995	877	0	-1.1973	1	0	8.44593452380952	1
scaled	Mel202	CPSF3	8	0.00015099	0.0008173	0.010314	85	6	-0.65734	0.99975	0.99969	0.999995	994	0	-0.65734	1	0	6.15754166666667	1
scaled	Mel202	NAE1	16	0.0001592	0.0012843	0.014035	86	8	-0.68358	0.99043	0.99124	0.999995	920	0	-0.68358	1	0	5.76845833333333	1
scaled	Mel202	RPL5	7	0.00016521	0.00074257	0.009599	87	5	-1.0555	0.83957	0.83819	0.999995	734	0	-1.0555	1	0	7.92917261904762	1
scaled	Mel202	NCBP2	8	0.00016609	0.00089202	0.010868	88	4	-0.90625	0.37331	0.37313	0.999995	326	0	-0.90625	1	0	6.15129166666667	1
scaled	Mel202	ERH	8	0.00016794	0.0009107	0.01097	89	5	-1.0134	0.47053	0.47085	0.999995	410	0	-1.0134	1	0	7.88533333333333	1
scaled	Mel202	CDK7	7	0.00016805	0.00076126	0.009722	90	5	-1.4365	0.99649	0.99611	0.999995	945	0	-1.4365	1	0	8.32355357142857	1
scaled	Mel202	SEPHS1	7	0.00018031	0.00084532	0.010542	91	6	-1.199	0.9995	0.9995	0.999995	981	0	-1.199	1	0	6.33622023809524	1
scaled	Mel202	SOD1	8	0.0002021	0.0010508	0.012515	92	6	-0.92573	0.62306	0.62366	0.999995	535	0	-0.92573	1	0	7.28245833333333	1
scaled	Mel202	SLC25A37	8	0.00020866	0.0010975	0.012784	93	6	-0.72499	0.93791	0.93722	0.999995	840	0	-0.72499	1	0	3.40945833333333	1
scaled	Mel202	SLC11A2	8	0.00021057	0.0010975	0.012784	94	6	-0.8798	0.92672	0.92592	0.999995	821	0	-0.8798	1	0	4.9845	1
scaled	Mel202	TRRAP	8	0.00023043	0.0011629	0.013219	95	6	-0.85994	0.9928	0.99275	0.999995	927	0	-0.85994	1	0	5.04154166666667	1
scaled	Mel202	CDS2	8	0.00024414	0.0012283	0.013562	96	6	-0.92626	0.59986	0.60044	0.999995	522	0	-0.92626	1	0	7.60908333333333	1
scaled	Mel202	LSM4	8	0.00024647	0.0012283	0.013562	97	5	-1.1274	0.48841	0.48869	0.999995	434	0	-1.1274	1	0	6.71325	1
scaled	Mel202	POLR2F	8	0.00026535	0.0013591	0.0147	98	5	-1.0962	0.86089	0.8602	0.999995	755	0	-1.0962	1	0	7.06308333333333	1
scaled	Mel202	MED23	8	0.00027119	0.0014151	0.015152	99	6	-0.79325	0.85098	0.851	0.999995	745	0	-0.79325	1	0	5.38491666666667	1
scaled	Mel202	EIF4A3	8	0.00028727	0.0015085	0.01593	100	5	-1.1637	0.95385	0.95308	0.999995	855	0	-1.1637	1	0	7.85158333333333	1
scaled	Mel202	NAA15	8	0.00029077	0.0015178	0.01593	101	6	-1.0736	0.99904	0.99899	0.999995	976	0	-1.0736	1	0	7.13066666666667	1
scaled	Mel202	ATP6V1C1	8	0.00031231	0.0016766	0.017424	102	6	-0.74757	1	1	0.999995	1036	0	-0.74757	1	0	5.18379166666667	1
scaled	Mel202	RPS5	8	0.0003368	0.0018167	0.018517	103	6	-1.2172	0.79511	0.79476	0.999995	701	0	-1.2172	1	0	8.41775	1
scaled	Mel202	NUTF2	7	0.00035476	0.0017327	0.017831	104	4	-1.4064	0.40463	0.40474	0.999995	358	0	-1.4064	1	0	7.8308869047619	1
scaled	Mel202	RPRD1B	8	0.00038243	0.0020689	0.020306	105	6	-0.87182	0.99812	0.99807	0.999995	963	0	-0.87182	1	0	4.34391666666667	1
scaled	Mel202	GAPDH	8	0.00038417	0.0020689	0.020306	106	6	-0.95612	0.99801	0.99799	0.999995	960	0	-0.95612	1	0	7.629875	1
scaled	Mel202	PMPCB	8	0.00038486	0.0020689	0.020306	107	5	-1.2234	0.88103	0.88031	0.999995	776	0	-1.2234	1	0	6.57825	1
scaled	Mel202	RAN	7	0.00039143	0.0018915	0.019095	108	5	-1.3781	0.65946	0.65846	0.999995	578	0	-1.3781	1	0	8.44531547619048	1
scaled	Mel202	COX4I1	8	0.00039204	0.0021063	0.020483	109	6	-0.72679	0.94165	0.9408	0.999995	847	0	-0.72679	1	0	4.32579166666667	1
scaled	Mel202	CTR9	8	0.00040004	0.0021437	0.020657	110	5	-1.1648	0.58887	0.58928	0.999995	513	0	-1.1648	1	0	6.18475	1
scaled	Mel202	PSMA2	8	0.00040328	0.0021717	0.020739	111	6	-0.81014	0.79206	0.79193	0.999995	699	0	-0.81014	1	0	6.3635	1
scaled	Mel202	MED12	8	0.00041311	0.0022277	0.021084	112	6	-0.94878	0.9996	0.99951	0.999995	987	0	-0.94878	1	0	6.383	1
scaled	Mel202	XAB2	8	0.0004206	0.0022651	0.021248	113	6	-0.97247	0.99997	0.99998	0.999995	1019	0	-0.97247	1	0	6.73604166666667	1
scaled	Mel202	RNF40	8	0.00044196	0.0023492	0.021843	114	5	-1.0656	0.98207	0.98174	0.999995	904	0	-1.0656	1	0	5.45295833333333	1
scaled	Mel202	MDM4	8	0.00045982	0.0023772	0.021911	115	6	-0.88793	0.99973	0.99968	0.999995	991	0	-0.88793	1	0	6.240875	1
scaled	Mel202	ELL	8	0.00048191	0.0024239	0.022045	116	6	-0.74714	0.99993	0.99994	0.999995	1012	0	-0.74714	1	0	4.68191666666667	1
scaled	Mel202	TNPO1	6	0.00052382	0.0024332	0.022045	117	4	-1.2407	0.99178	0.99183	0.999995	924	0	-1.2407	1	0	6.66795833333333	1
scaled	Mel202	PSMC3	8	0.00053069	0.00262	0.023338	118	6	-0.55697	0.57454	0.57436	0.999995	500	0	-0.55697	1	0	4.06108333333333	1
scaled	Mel202	ISCA2	8	0.00054921	0.0027415	0.024216	119	6	-0.7479	0.99886	0.99887	0.999995	971	0	-0.7479	1	0	5.5995	1
scaled	Mel202	CCT6A	7	0.00055108	0.0024799	0.022277	120	5	-1.3357	0.99692	0.99662	0.999995	948	0	-1.3357	1	0	9.06850595238095	1
scaled	Mel202	NXT1	8	0.00059342	0.0029283	0.025653	121	5	-1.0613	0.96642	0.96588	0.999995	876	0	-1.0613	1	0	6.1025	1
scaled	Mel202	SF1	8	0.00061702	0.0030684	0.026416	122	6	-0.82704	0.99974	0.99969	0.999995	993	0	-0.82704	1	0	7.02075	1
scaled	Mel202	SF3B2	8	0.00063187	0.0031057	0.026416	123	5	-0.99816	0.99262	0.99257	0.999995	926	0	-0.99816	1	0	5.9345	1
scaled	Mel202	PPP2R1A	8	0.00063644	0.0031151	0.026416	124	5	-1.0454	0.7223	0.72188	0.999995	638	0	-1.0454	1	0	6.417625	1
scaled	Mel202	CTPS1	8	0.00064979	0.0031711	0.026678	125	6	-0.71882	0.98025	0.97977	0.999995	900	0	-0.71882	1	0	4.52270833333333	1
scaled	Mel202	RPA3	8	0.00065699	0.0031991	0.026701	126	6	-0.43605	0.26508	0.26547	0.999995	228	0	-0.43605	1	0	5.617	1
scaled	Mel202	RPL13	6	0.00066652	0.0030404	0.026416	127	5	-1.2996	0.99993	0.99996	0.999995	1011	0	-1.2996	1	0	10.3814583333333	1
scaled	Mel202	UTP14A	8	0.00078966	0.0037969	0.031112	128	6	-0.76794	0.84939	0.84931	0.999995	743	0	-0.76794	1	0	3.61733333333333	1
scaled	Mel202	SMARCA4	8	0.00079246	0.0038063	0.031112	129	6	-0.84993	0.68065	0.6815	0.999995	605	0	-0.84993	1	0	4.21225	1
scaled	Mel202	NKAP	8	0.00079527	0.0038156	0.031112	130	6	-0.70947	0.99998	1	0.999995	1026	0	-0.70947	1	0	4.18670833333333	1
scaled	Mel202	TRAPPC3	8	0.00085533	0.0040211	0.032291	131	5	-1.0894	0.8287	0.82857	0.999995	728	0	-1.0894	1	0	6.49641666666667	1
scaled	Mel202	SPAG9	8	0.00085617	0.0040211	0.032291	132	6	-0.78469	0.99926	0.99914	0.999995	977	0	-0.78469	1	0	3.02458333333333	1
scaled	Mel202	HNRNPH1	8	0.00087534	0.0041332	0.032941	133	5	-0.92544	0.98911	0.98875	0.999995	917	0	-0.92544	1	0	5.02916666666667	1
scaled	Mel202	ABT1	8	0.0010028	0.0045722	0.036168	134	6	-0.6761	0.65584	0.65675	0.999995	572	0	-0.6761	1	0	4.21145833333333	1
scaled	Mel202	SMC1A	8	0.0010199	0.0046376	0.036414	135	6	-0.76103	0.99999	1	0.999995	1034	0	-0.76103	1	0	5.37675	1
scaled	Mel202	MED13L	8	0.0010725	0.0049085	0.038257	136	6	-0.58298	0.99999	1	0.999995	1029	0	-0.58298	1	0	2.72179166666667	1
scaled	Mel202	TAMM41	8	0.0011906	0.0052914	0.040941	137	5	-0.88699	0.65876	0.6597	0.999995	577	0	-0.88699	1	0	5.3415	1
scaled	Mel202	RPS3	6	0.0012616	0.0053942	0.041433	138	5	-0.86622	0.52984	0.53136	0.999995	470	0	-0.86622	1	0	6.29801388888889	1
scaled	Mel202	SFPQ	8	0.0013958	0.0061321	0.046429	139	4	-0.53549	0.87285	0.87213	0.999995	769	0	-0.53549	1	0	6.5145	1
scaled	Mel202	TYMS	8	0.0016431	0.0072062	0.054175	140	5	-0.96772	0.8185	0.81842	0.999995	720	0	-0.96772	0	0	5.45216666666667	1
scaled	Mel202	RPA1	8	0.0017479	0.0076452	0.05707	141	5	-0.60961	0.99995	0.99995	0.999995	1017	0	-0.60961	0	0	6.09958333333333	1
scaled	Mel202	FDPS	8	0.0017726	0.00772	0.057103	142	4	-0.7294	0.84083	0.84065	0.999995	736	0	-0.7294	0	0	4.88966666666667	1
scaled	Mel202	SNAPC4	8	0.0017759	0.0077573	0.057103	143	5	-0.72117	0.55383	0.55356	0.999995	486	0	-0.72117	0	0	3.27525	1
scaled	Mel202	RPL18A	3	0.0020165	0.0059266	0.045196	144	3	-1.7988	0.99798	0.99782	0.999995	958	0	-1.7988	1	0	12.7432361111111	1
scaled	Mel202	TOMM22	7	0.0021625	0.0092145	0.066899	145	5	-0.7004	0.99984	0.99986	0.999995	1002	0	-0.7004	0	0	4.42526785714286	1
scaled	Mel202	GFM1	8	0.0023954	0.009971	0.0719	146	5	-0.85601	0.49254	0.49275	0.999995	438	0	-0.85601	0	0	6.91145833333333	1
scaled	Mel202	MTHFD1	8	0.0025037	0.010261	0.073488	147	5	-0.74129	0.9981	0.99806	0.999995	962	0	-0.74129	0	0	2.927	1
scaled	Mel202	RHOT2	8	0.0025685	0.010475	0.074523	148	5	-0.77136	0.9999	0.99988	0.999995	1008	0	-0.77136	0	0	4.2195	1
scaled	Mel202	WDR12	8	0.0026937	0.01083	0.076535	149	5	-0.88944	0.99998	0.99999	0.999995	1025	0	-0.88944	0	0	6.12616666666667	1
scaled	Mel202	CNOT7	7	0.0027915	0.011718	0.081182	150	4	-0.83353	0.62223	0.62151	0.999995	533	0	-0.83353	0	0	3.21902976190476	1
scaled	Mel202	PFAS	8	0.0028407	0.011297	0.079306	151	5	-0.71397	0.20775	0.20847	0.999995	175	0	-0.71397	0	0	2.68108333333333	1
scaled	Mel202	RPS15	4	0.0028631	0.008682	0.063469	152	3	-1.5455	0.89893	0.89908	0.999995	790	0	-1.5455	0	0	8.26629166666667	1
scaled	Mel202	XRCC6	7	0.0030108	0.012577	0.086569	153	4	-0.50673	0.99903	0.99903	0.999995	974	0	-0.50673	0	0	6.10022023809524	1
scaled	Mel202	RBMX	7	0.0030365	0.01268	0.086714	154	5	-0.43044	0.33158	0.33212	0.999995	293	0	-0.43044	0	0	6.02574404761905	1
scaled	Mel202	IPO7	7	0.0031184	0.012941	0.087935	155	5	-0.56624	0.99953	0.99956	0.999995	984	0	-0.56624	0	0	2.945125	1
scaled	Mel202	HNRNPK	7	0.0031646	0.013166	0.088888	156	5	-0.59597	0.93148	0.93105	0.999995	828	0	-0.59597	0	0	4.85341071428571	1
scaled	Mel202	SPTLC2	8	0.0034386	0.013334	0.089454	157	5	-0.72891	0.86205	0.8615	0.999995	758	0	-0.72891	0	0	2.904	1
scaled	Mel202	DDX5	8	0.0038656	0.014884	0.099228	158	5	-0.70503	0.99895	0.99891	0.999995	973	0	-0.70503	0	0	3.96841666666667	1
scaled	Mel202	APH1A	8	0.0039816	0.015463	0.101808	159	5	-0.73589	0.20012	0.20072	0.999995	168	0	-0.73589	0	0	4.300625	1
scaled	Mel202	RPS7	3	0.0041715	0.011531	0.080413	160	2	-1.604	0.97084	0.97054	0.999995	885	0	-1.604	0	0	8.61334722222222	1
scaled	Mel202	DHX9	6	0.0042917	0.015146	0.10034	161	4	-0.80806	0.9995	0.99952	0.999995	983	0	-0.80806	0	0	5.37818055555556	1
scaled	Mel202	MED31	8	0.0044296	0.01735	0.113525	162	5	-0.62763	0.6908	0.69158	0.999995	612	0	-0.62763	0	0	3.85491666666667	1
scaled	Mel202	DDI2	8	0.0048992	0.019041	0.123823	163	5	-0.46613	0.19474	0.19518	0.999995	162	0	-0.46613	0	0	1.96120833333333	1
scaled	Mel202	ARID1A	8	0.0050533	0.019545	0.126328	164	5	-0.69145	0.99537	0.99534	0.999995	938	0	-0.69145	0	0	3.31391666666667	1
scaled	Mel202	RIC8A	8	0.0051792	0.019853	0.126834	165	5	-0.76593	0.99978	0.99971	0.999995	999	0	-0.76593	0	0	4.92341666666667	1
scaled	Mel202	FARS2	8	0.0051821	0.019863	0.126834	166	4	-0.76111	0.98416	0.98408	0.999995	908	0	-0.76111	0	0	4.86483333333333	1
